Timestamp,Channel,Pose_X,Pose_Y,Pose_Theta,eCO2,TVOC,AQI,R0,R1,R2,R3,Elapsed_s
2025-12-19 12:19:35.726930,2,-0.0145438137087408,-0.0329696663921424,0.0,524.0,85.0,2.0,685230.0,1.0,660188.0,52045.0,2790.401452
2025-12-19 12:19:35.825551,3,-0.0145438137087408,-0.0329696663921424,0.0,486.0,65.0,2.0,631343.0,1.0,548241.0,61412.0,2790.500073
2025-12-19 12:19:35.928223,4,-0.0145438137087408,-0.0329696663921424,0.0,520.0,83.0,2.0,1012994.0,1.0,1182043.0,66744.0,2790.602745
2025-12-19 12:19:36.027116,5,-0.0145438137087408,-0.0329696663921424,0.0,522.0,84.0,2.0,809110.0,1.0,1233959.0,57783.0,2790.701638
2025-12-19 12:19:36.525089,0,-0.0145438137087408,-0.0329696663921424,0.0,604.0,134.0,2.0,644077.0,1.0,844075.0,58353.0,2791.199611
2025-12-19 12:19:36.626374,1,-0.0145438137087408,-0.0329696663921424,0.0,534.0,91.0,2.0,657735.0,1.0,980610.0,56967.0,2791.300896
2025-12-19 12:19:36.726526,2,-0.0145438137087408,-0.0329696663921424,0.0,532.0,90.0,2.0,700235.0,1.0,660412.0,51624.0,2791.401048
2025-12-19 12:19:36.826192,3,-0.0145438137087408,-0.0329696663921424,0.0,497.0,70.0,2.0,635631.0,1.0,552713.0,60792.0,2791.500714
2025-12-19 12:19:36.927873,4,-0.0145438137087408,-0.0329696663921424,0.0,527.0,87.0,2.0,1017806.0,1.0,1172480.0,66316.0,2791.602395
2025-12-19 12:19:37.027768,5,-0.0145438137087408,-0.0329696663921424,0.0,523.0,85.0,2.0,801750.0,1.0,1210382.0,57704.0,2791.70229
2025-12-19 12:19:37.525238,0,-0.0145438137087408,-0.0329696663921424,0.0,590.0,126.0,2.0,649110.0,1.0,868122.0,59108.0,2792.19976
2025-12-19 12:19:37.625278,1,-0.0145438137087408,-0.0329696663921424,0.0,540.0,94.0,2.0,672138.0,1.0,973665.0,56621.0,2792.2998
2025-12-19 12:19:37.727671,2,-0.0145438137087408,-0.0329696663921424,0.0,548.0,99.0,2.0,703323.0,1.0,667152.0,50861.0,2792.402193
2025-12-19 12:19:37.826267,3,-0.0145438137087408,-0.0329696663921424,0.0,501.0,73.0,2.0,640599.0,1.0,564242.0,60525.0,2792.500789
2025-12-19 12:19:37.925677,4,-0.0145438137087408,-0.0329696663921424,0.0,518.0,82.0,2.0,1007524.0,1.0,1196938.0,66880.0,2792.600199
2025-12-19 12:19:38.027253,5,-0.0145438137087408,-0.0329696663921424,0.0,538.0,93.0,2.0,825429.0,1.0,1220667.0,56928.0,2792.701775
2025-12-19 12:19:38.525610,1,-0.0145438137087408,-0.0329696663921424,0.0,556.0,104.0,2.0,665798.0,1.0,998021.0,55746.0,2793.200132
2025-12-19 12:19:38.625504,2,-0.0145438137087408,-0.0329696663921424,0.0,546.0,98.0,2.0,698578.0,1.0,654183.0,50947.0,2793.300026
