Timestamp,Channel,Pose_X,Pose_Y,Pose_Theta,eCO2,TVOC,AQI,R0,R1,R2,R3
2025-12-15T16:43:40.203917,5,0.9857412746876738,-0.004195883850581354,0.0,475.0,59.0,1.0,618024.0,1.0,1708844.0,70889.0
2025-12-15T16:43:40.802423,1,1.0254768473054507,-0.004357938921016636,0.0,475.0,59.0,1.0,396422.0,1.0,1238981.0,65226.0
2025-12-15T16:43:40.903421,2,1.0316883472170673,-0.004627021514253659,0.0,494.0,69.0,2.0,630489.0,1.0,1285977.0,70149.0
2025-12-15T16:43:41.004007,3,1.040312841502596,-0.004234030634870651,0.0,489.0,66.0,2.0,455585.0,1.0,1041854.0,63505.0
2025-12-15T16:43:41.103508,4,1.0494567574061555,-0.003608506980760734,0.0,517.0,81.0,2.0,721160.0,1.0,1569671.0,79750.0
2025-12-15T16:43:41.203172,5,1.0568949293335326,-0.004147342020636895,0.0,511.0,78.0,2.0,623909.0,1.0,1714057.0,68460.0
2025-12-15T16:43:41.802703,1,1.0972786539850528,-0.005078617778785224,0.0,467.0,55.0,1.0,398845.0,1.0,1238142.0,65691.0
2025-12-15T16:43:41.903404,2,1.0982237138135387,-0.004520498258566299,0.0,514.0,80.0,2.0,627934.0,1.0,1286847.0,68809.0
2025-12-15T16:43:42.004027,3,1.098415579042625,-0.004333516723746139,0.0,487.0,65.0,2.0,453432.0,1.0,1041502.0,63655.0
2025-12-15T16:43:42.102395,4,1.098415579042625,-0.004333516723746139,0.0,497.0,71.0,2.0,710260.0,1.0,1532401.0,81276.0
2025-12-15T16:43:42.203416,5,1.098415579042625,-0.004333516723746139,0.0,496.0,70.0,2.0,629210.0,1.0,1701342.0,69464.0
2025-12-15T16:43:42.802514,1,1.1117542767493598,-0.0061397965169030615,0.0,471.0,57.0,1.0,411598.0,1.0,1219015.0,65469.0
2025-12-15T16:43:42.904044,2,1.121186498088923,-0.006660017764838201,0.0,501.0,73.0,2.0,631557.0,1.0,1260126.0,69652.0
2025-12-15T16:43:43.003038,3,1.131102099628251,-0.006092476627120414,0.0,471.0,57.0,1.0,455277.0,1.0,1033426.0,64654.0
2025-12-15T16:43:43.102211,4,1.1401105753206047,-0.005854927550379858,0.0,495.0,70.0,2.0,712668.0,1.0,1593761.0,81413.0
2025-12-15T16:43:43.203055,5,1.148102539594976,-0.00602761897398464,0.0,486.0,65.0,2.0,616353.0,1.0,1728622.0,70125.0
2025-12-15T16:43:43.802734,1,1.186038198572555,-0.006785157315500857,0.0,461.0,52.0,1.0,402097.0,1.0,1226879.0,66115.0
2025-12-15T16:43:43.903606,2,1.1936994400373813,-0.006706777548521706,0.0,494.0,69.0,2.0,641032.0,1.0,1276005.0,70149.0
2025-12-15T16:43:44.002866,3,1.2008848025353813,-0.007105700827507632,0.0,501.0,73.0,2.0,451136.0,1.0,1031329.0,62799.0
